id_venda,produto,quantidade,mes,nome_mes,vendedor,regiao,categoria,preco_unitario,custo_unitario,faturamento,custo_total,lucro,margem_percentual
1,Mouse Gamer,4,8,Agosto,Fernanda,Sudeste,Periféricos,449.99,179.99,1799.96,719.96,1080.0,60.001333362963614
2,Placa de Vídeo,3,7,Julho,Carlos,Nordeste,Componentes,4500.0,2000.0,13500.0,6000.0,7500.0,55.55555555555556
3,Webcam,5,7,Julho,Brendon,Sudeste,Vídeo,349.99,179.99,1749.95,899.95,850.0,48.57281636618189
4,Headset,1,5,Maio,Ana,Sudeste,Áudio,799.99,349.99,799.99,349.99,450.0,56.25070313378917
5,Mouse,5,12,Dezembro,Marcos,Sudeste,Periféricos,249.99,79.99,1249.95,399.95,850.0,68.00272010880435
6,Mouse,1,7,Julho,Luciano,Sudeste,Periféricos,249.99,79.99,249.99,79.99,170.0,68.00272010880435
7,Notebook Gamer,2,12,Dezembro,Carlos,Sul,Computadores,11999.99,8999.99,23999.98,17999.98,6000.0,25.000020833350696
8,SSD,1,3,Março,Bianca,Sudeste,Armazenamento,599.99,199.99,599.99,199.99,400.0,66.6677777962966
9,Headset,4,12,Dezembro,Fernanda,Centro-Oeste,Áudio,799.99,349.99,3199.96,1399.96,1800.0,56.25070313378917
10,Fone Bluetooth,3,7,Julho,Ana,Nordeste,Áudio,649.99,279.99,1949.97,839.97,1110.0,56.92395267619502
11,Notebook,2,2,Fevereiro,Luciano,Nordeste,Computadores,7500.0,4795.0,15000.0,9590.0,5410.0,36.06666666666667
12,Placa de Vídeo,1,1,Janeiro,Bianca,Sul,Componentes,4500.0,2000.0,4500.0,2000.0,2500.0,55.55555555555556
13,SSD,5,11,Novembro,Ana,Centro-Oeste,Armazenamento,599.99,199.99,2999.95,999.95,1999.9999999999998,66.6677777962966
14,Mouse,2,10,Outubro,Ana,Sudeste,Periféricos,249.99,79.99,499.98,159.98,340.0,68.00272010880435
15,Mouse,2,11,Novembro,Ana,Centro-Oeste,Periféricos,249.99,79.99,499.98,159.98,340.0,68.00272010880435
16,Mouse,1,3,Março,Ana,Nordeste,Periféricos,249.99,79.99,249.99,79.99,170.0,68.00272010880435
17,Mouse Gamer,2,1,Janeiro,Eduardo,Nordeste,Periféricos,449.99,179.99,899.98,359.98,540.0,60.001333362963614
18,Teclado Mecânico,5,8,Agosto,Brendon,Sul,Periféricos,899.99,450.0,4499.95,2250.0,2249.95,49.99944443827153
19,Teclado,2,7,Julho,Carlos,Sudeste,Periféricos,499.99,299.99,999.98,599.98,400.0,40.00080001600032
20,Mouse,5,8,Agosto,Brendon,Sudeste,Periféricos,249.99,79.99,1249.95,399.95,850.0,68.00272010880435
21,Headset,1,12,Dezembro,Carlos,Nordeste,Áudio,799.99,349.99,799.99,349.99,450.0,56.25070313378917
22,Monitor Gamer,3,12,Dezembro,Bianca,Sudeste,Monitores,4500.0,2850.0,13500.0,8550.0,4950.0,36.666666666666664
23,Mouse,2,12,Dezembro,Bianca,Nordeste,Periféricos,249.99,79.99,499.98,159.98,340.0,68.00272010880435
24,Mouse Gamer,3,11,Novembro,Carlos,Sudeste,Periféricos,449.99,179.99,1349.97,539.97,810.0,60.001333362963614
25,Teclado,5,6,Junho,Bianca,Sudeste,Periféricos,499.99,299.99,2499.95,1499.95,999.9999999999998,40.00080001600031
26,Webcam,2,7,Julho,Eduardo,Sudeste,Vídeo,349.99,179.99,699.98,359.98,340.0,48.57281636618189
27,Mouse,4,9,Setembro,Carlos,Sudeste,Periféricos,249.99,79.99,999.96,319.96,680.0,68.00272010880435
28,Teclado Mecânico,3,11,Novembro,Bruno,Sul,Periféricos,899.99,450.0,2699.9700000000003,1350.0,1349.9700000000003,49.99944443827154
29,Headset,2,2,Fevereiro,Luciano,Sudeste,Áudio,799.99,349.99,1599.98,699.98,900.0,56.25070313378917
30,Notebook,3,7,Julho,Eduardo,Norte,Computadores,7500.0,4795.0,22500.0,14385.0,8115.0,36.06666666666667
31,Headset,2,2,Fevereiro,Bianca,Sul,Áudio,799.99,349.99,1599.98,699.98,900.0,56.25070313378917
32,Mouse,1,8,Agosto,Eduardo,Sudeste,Periféricos,249.99,79.99,249.99,79.99,170.0,68.00272010880435
33,Notebook Gamer,3,12,Dezembro,Bianca,Nordeste,Computadores,11999.99,8999.99,35999.97,26999.97,9000.0,25.000020833350696
34,HD Externo,4,11,Novembro,Juliana,Centro-Oeste,Armazenamento,749.99,349.99,2999.96,1399.96,1600.0,53.334044453926055
35,Placa de Vídeo,4,5,Maio,Eduardo,Nordeste,Componentes,4500.0,2000.0,18000.0,8000.0,10000.0,55.55555555555556
36,SSD,5,12,Dezembro,Eduardo,Sudeste,Armazenamento,599.99,199.99,2999.95,999.95,1999.9999999999998,66.6677777962966
37,Mouse Gamer,2,10,Outubro,Carlos,Centro-Oeste,Periféricos,449.99,179.99,899.98,359.98,540.0,60.001333362963614
38,Monitor Full HD,3,1,Janeiro,Fernanda,Nordeste,Monitores,2799.99,1499.99,8399.97,4499.97,3899.999999999999,46.428737245490154
39,Fone Bluetooth,5,5,Maio,Eduardo,Sudeste,Áudio,649.99,279.99,3249.95,1399.95,1849.9999999999998,56.923952676195015
40,Teclado,3,5,Maio,Ana,Sudeste,Periféricos,499.99,299.99,1499.97,899.97,600.0,40.00080001600032
41,Monitor Gamer,2,2,Fevereiro,Eduardo,Sul,Monitores,4500.0,2850.0,9000.0,5700.0,3300.0,36.666666666666664
42,Teclado,4,12,Dezembro,Ana,Sudeste,Periféricos,499.99,299.99,1999.96,1199.96,800.0,40.00080001600032
43,Notebook,1,8,Agosto,Luciano,Centro-Oeste,Computadores,7500.0,4795.0,7500.0,4795.0,2705.0,36.06666666666667
44,HD Externo,4,12,Dezembro,Eduardo,Sudeste,Armazenamento,749.99,349.99,2999.96,1399.96,1600.0,53.334044453926055
45,Mouse,5,6,Junho,Bruno,Centro-Oeste,Periféricos,249.99,79.99,1249.95,399.95,850.0,68.00272010880435
46,Fone Bluetooth,1,3,Março,Bruno,Sul,Áudio,649.99,279.99,649.99,279.99,370.0,56.92395267619502
47,Mouse Gamer,5,8,Agosto,Carlos,Sudeste,Periféricos,449.99,179.99,2249.95,899.95,1349.9999999999998,60.001333362963614
48,Teclado Mecânico,2,3,Março,Bianca,Sudeste,Periféricos,899.99,450.0,1799.98,900.0,899.98,49.99944443827153
49,Teclado Mecânico,1,8,Agosto,Ana,Sul,Periféricos,899.99,450.0,899.99,450.0,449.99,49.99944443827153
50,Mouse,5,12,Dezembro,Bianca,Nordeste,Periféricos,249.99,79.99,1249.95,399.95,850.0,68.00272010880435
51,Placa de Vídeo,2,8,Agosto,Ana,Nordeste,Componentes,4500.0,2000.0,9000.0,4000.0,5000.0,55.55555555555556
52,Webcam,4,9,Setembro,Bianca,Sudeste,Vídeo,349.99,179.99,1399.96,719.96,680.0,48.57281636618189
53,HD Externo,2,4,Abril,Bianca,Sudeste,Armazenamento,749.99,349.99,1499.98,699.98,800.0,53.334044453926055
54,HD Externo,3,2,Fevereiro,Luciano,Sudeste,Armazenamento,749.99,349.99,2249.9700000000003,1049.97,1200.0000000000002,53.334044453926055
55,Headset,2,3,Março,Luciano,Nordeste,Áudio,799.99,349.99,1599.98,699.98,900.0,56.25070313378917
56,HD Externo,2,9,Setembro,Luciano,Sudeste,Armazenamento,749.99,349.99,1499.98,699.98,800.0,53.334044453926055
57,Monitor Full HD,3,3,Março,Marcos,Sudeste,Monitores,2799.99,1499.99,8399.97,4499.97,3899.999999999999,46.428737245490154
58,Mouse,5,7,Julho,Ana,Sul,Periféricos,249.99,79.99,1249.95,399.95,850.0,68.00272010880435
59,Notebook,5,9,Setembro,Ana,Norte,Computadores,7500.0,4795.0,37500.0,23975.0,13525.0,36.06666666666667
